HANZI,PINYIN [PLECO],DEF1,TIPO1,DEF2,TIPO2,LESSON,NUMBER,LECCION,NUM,#
小心,XIǍOXĪN,"cauto, prudente",ADJ,tener cuidado,VER,3,3,,,481
校长,XIÀOZHǍNG,"director (de escuela), rector (de universidad)",NOM,,,13,13,,,482
笑,XIÀO,"reír, sonreír",VER,,,,,22sup,14,483
些,XIĒ,alguno(s),CLA,,,,,18,5,484
写,XIĚ,escribir,VER,,,,,11,28,485
谢谢,XIÈXIÈ,dar las gracias,VER,,,,,5,7,486
新,XĪN,nuevo,ADJ,,,,,16,34,487
新闻,XĪNWÉN,noticias,NOM,,,15,13,,,488
新鲜,XĪNXIĀN,fresco,ADJ,,,3,9,,,489
信用卡,XÌNYÒNGKǍ,tarjeta de crédito,NOM,,,20,5,,,490
星期,XĪNGQĪ,semana,NOM,,,,,9,5,491
行李箱,XÍNGLǏXIĀNG,"maleta, compartimiento, valija (del auto)",NOM,,,12,4,,,492
姓,XÌNG,apellido,NOM,apellidar,VER,,,4,11,493
熊猫,XIÓNGMĀO,oso panda,NOM,,,8,6,23sup,9,494
休息,XIŪXI,descansar,VER,descanso,NOM,,,12,22,495
需要,XŪYÀO,"necesitar, querer, demandar, requerir",VER,necesidad,NOM,12,13,,,496
选择,XUǍNZÉ,"seleccionar, elegir, optar",VER,"selección, opción",NOM,17,10,,,497
学生,XUÉSHENG,estudiante,NOM,,,,,4,18,498
学习,XUÉXÍ,"estudiar, aprender",VER,,,,,4,20,499
学校,XUÉXIÀO,"escuela, institución educativa",NOM,,,,,21,18,500
雪,XUĚ,nieve,NOM,,,,,,,501
颜色,YÁNSÈ,color,NOM,,,,,17,18,502
眼睛,YǍNJING,ojo,NOM,,,,,,,503
羊肉,YÁNGRÒU,"carne de cordero, carne de cabra",NOM,,,,,,,504
要求,YĀOQIÚ,"requisito, demanda",NOM,"pedir, requerir, demandar",VER,15,9,,,505
药,YÀO,medicina,NOM,,,,,12,32,506
要,YÀO,"deber, querer hacer algo",VAUX,,,,,12,15,507
爷爷,YÉYE,abuelo (padre del padre),NOM,,,13,2,,,508
也,YĚ,"también, además",ADV,,,,,1,7,509
